18,A*,1,226.55,952226,61
18,A*,2,3.94,16961,61
18,A*,3,3.27,14120,61

19,breadth,-,213.15,946521,64
19,depth,-,88.16,446694,64
19,uniform,-,220.35,946313,64
19,greedy,1,199.96,944627,64
19,greedy,2,0.65,2863,64
19,greedy,3,0.43,1921,64
19,A*,1,223.64,946302,64
19,A*,2,4.82,20493,64
19,A*,3,5.23,22608,64

20,breadth,-,82.21,380804,62
20,depth,-,55.66,282922,62
20,uniform,-,83.77,380578,62
20,greedy,1,50.7,242790,62
20,greedy,2,3.0,13031,62
20,greedy,3,2.9,12651,62
20,A*,1,84.78,380549,62
20,A*,2,2.55,10950,62
20,A*,3,3.01,13021,62

21,breadth,-,190.37,849784,62
21,depth,-,89.55,452901,62
21,uniform,-,197.5,848982,62
21,greedy,1,166.36,780177,62
21,greedy,2,3.34,15135,62
21,greedy,3,3.56,16107,62
21,A*,1,201.69,848863,62
21,A*,2,5.43,23589,62
21,A*,3,13.71,57804,62

22,breadth,-,349.81,1483851,65
22,depth,-,65.34,326424,65
22,uniform,-,357.43,1483715,65
22,greedy,1,242.17,1120246,65
22,greedy,2,3.52,15286,65
22,greedy,3,3.13,13904,65
22,A*,1,364.82,1483660,65
22,A*,2,10.49,44730,65
22,A*,3,12.01,51276,65

23,breadth,-,202.13,902866,61
23,depth,-,91.44,465862,61
23,uniform,-,208.99,901237,61
23,greedy,1,114.94,537565,61
23,greedy,2,2.44,10852,61
23,greedy,3,2.18,9697,61
23,A*,1,212.28,900798,61
23,A*,2,8.49,36401,61
23,A*,3,8.14,35159,61

24,breadth,-,67.22,314209,65
24,depth,-,6.23,31547,65
24,uniform,-,69.03,314199,65
24,greedy,1,27.0,130528,65
24,greedy,2,1.82,7935,65
24,greedy,3,1.54,6730,65
24,A*,1,69.92,314198,65
24,A*,2,1.85,7954,65
24,A*,3,1.83,7935,65

25,breadth,-,135.55,617640,61
25,depth,-,113.17,575290,61
25,uniform,-,139.15,616582,61
25,greedy,1,60.44,286707,61
25,greedy,2,4.86,21492,61
25,greedy,3,3.94,17575,61
25,A*,1,142.2,616366,61
25,A*,2,6.34,27601,61
25,A*,3,6.54,28424,61

26,breadth,-,124.13,568984,62
26,depth,-,108.35,544800,62
26,uniform,-,128.85,567887,62
26,greedy,1,76.15,354825,62
26,greedy,2,0.96,4227,62
26,greedy,3,1.63,7193,62
26,A*,1,130.64,567630,62
26,A*,2,2.31,9940,62
26,A*,3,3.88,16839,62

